Country,"Market Role",Company,"Type of identification","Identification of organisation",Website,"Official Contact","Metering Grid Area"
AT,DSO,"E-Werk der Marktgemeinde Unzmarkt-Frauenburg",AT-Code,AT008410,0,evu@ainet.at,"Styria or GeoFence"
AT,DSO,"E-Werk Dietrichschlag eGen",AT-Code,AT003920,https://www.ewerk-dietrichschlag.at/startseite.html,e-werk.dietrichschlag@aon.at,"Upper Austria or GeoFence"
AT,DSO,"E-Werk Ebner GesmbH",AT-Code,AT008730,0,verwaltung@EWEbner.at,"Styria or GeoFence"
AT,DSO,"E-Werk Gleinstätten GmbH",AT-Code,AT008740,0,office@ktg-austria.at,"Styria or GeoFence"
AT,DSO,"E-Werk Gösting Stromversorgung GmbH",AT-Code,AT008210,0,a.froehlich@ewg.at,"Styria or GeoFence"
AT,DSO,"E-Werk Piwetz",AT-Code,AT008950,0,office@ew-piwetz.at,"Styria or GeoFence"
AT,DSO,"E-Werk Ranklleiten",AT-Code,AT003590,https://ranklleiten.at,office@ranklleiten.at,"Upper Austria or GeoFence"
AT,DSO,"E-Werk Redlmühle B. Drack Elektrotechnik ",AT-Code,AT003910,http://www.drackstrom.at/ws/frontend/seite/SeiteCms.php?coId=2&coType=navigation1,office@drackstrom.at,"Upper Austria or GeoFence"
AT,DSO,"E-Werk Sarmingstein Ing. H. Engelmann & Co KG",AT-Code,AT002900,0,ewsa@e-werke.at,"Upper Austria or GeoFence"
AT,DSO,"E-Werk Schattwald e.U.",AT-Code,AT005340,https://ew-schattwald.at/,office@ew-schattwald.at,"Tyrol or GeoFence"
AT,DSO,"E-Werk Schwaighofer GmbH",AT-Code,AT002250,0,e.werk@schwaighofer-lunz.at,"Lower Austria or GeoFence"
AT,DSO,"E-Werk Sigl GmbH & Co KG",AT-Code,AT008540,0,,"Styria or GeoFence"
AT,DSO,"E-Werk Stadler GmbH",AT-Code,AT005470,0,info@elektro-stadler.at,"Tyrol or GeoFence"
AT,DSO,"E-Werk Stubenberg eGen",AT-Code,AT008910,0,office@e-werk-stubenberg.at,"Styria or GeoFence"
AT,DSO,"eww AG",AT-Code,AT003300,0,info@eww.at,"Upper Austria or GeoFence"
AT,DSO,"Feistritzthaler Elektrizitätswerk eGen",AT-Code,AT008770,0,s.brantweiner@ewerk-growi.at,"Styria or GeoFence"
AT,DSO,Feistritzwerke-STEWEAG-GmbH,AT-Code,AT008130,0,office@feistritzwerke.at,"Styria or GeoFence"
AT,DSO,"Forstverwaltung Seehof GmbH",AT-Code,AT002280,0,office@kupelwieser-forst.at,"Lower Austria or GeoFence"
AT,DSO,"Gertraud Schafler GmbH",AT-Code,AT008690,0,office@schaflerstrom.at,"Styria or GeoFence"
AT,DSO,"Getzner, Mutter & Cie. Gesellschaft m.b.H. & Co. KG",AT-Code,AT006240,0,office.gmc@getzner.at,"Tyrol or GeoFence"
AT,DSO,"HALLAG Kommunal GmbH",AT-Code,AT005120,https://www.hall.ag/,c.neuzil@hall.ag,"Tyrol or GeoFence"
AT,DSO,"Heinrich Polsterer UND MITGES.GES.N.B.R.",AT-Code,AT002400,0,h.polsterer@polsterer.co.at,"Lower Austria or GeoFence"
AT,DSO,"Innsbrucker Kommunalbetriebe AG",AT-Code,AT005100,0,snot@ikb.at,"Tyrol or GeoFence"
AT,DSO,"Joh. Pengg Holding Gesellschaft m.b.H.",AT-Code,AT008930,0,pengg.holding@aon.at,"Styria or GeoFence"
AT,DSO,"K. u. F. Drack Gesellschaft m.b.H. & Co. KG.",AT-Code,AT003520,,office@kfd.at,"Upper Austria or GeoFence"
AT,DSO,"KARLSTROM e.U.",AT-Code,AT003470,0,service@karlstrom.at,"Upper Austria or GeoFence"
AT,DSO,"Klausbauer Wasser Kraft GesmbH & Co KG",AT-Code,AT008250,,office@klausbauerwasserkraft.at,"Styria or GeoFence"
AT,DSO,"KNG-Kärnten Netz GmbH",AT-Code,AT007000,0,office@kaerntennetz.at,"Carinthia or GeoFence"
AT,DSO,"Kommunalbetriebe Hopfgarten GmbH",AT-Code,AT005330,0,office@kbh.at,"Tyrol or GeoFence"
AT,DSO,"Kommunalbetriebe Rinn GmbH",AT-Code,AT005650,0,office@kbrinn.at,"Tyrol or GeoFence"
AT,DSO,"Kraftwerk Glatzing-Rüstorf eGen",AT-Code,AT003510,0,kwg@kwg.at,"Upper Austria or GeoFence"
AT,DSO,"Kraftwerk Reinisch GmbH",AT-Code,AT005690,0,office@kw-reinisch.at,"Tyrol or GeoFence"
AT,DSO,"Kraftwerke Haim K.G.",AT-Code,AT005210,0,info@kraftwerkhaim.at,"Tyrol or GeoFence"
AT,DSO,"Kraut E-Werk KG",AT-Code,AT008970,0,reinhard.kraut@aon.at,"Carinthia or GeoFence"
AT,DSO,"Licht- u. Kraftstromvertrieb d. Marktgemeinde Göstling a.d. Ybbs",AT-Code,AT002120,0,b.blamauer@goestling.com,"Lower Austria or GeoFence"
AT,DSO,"Licht- und Kraftstromvertrieb der Gemeinde Opponitz",AT-Code,AT002300,0,gemeinde@opponitz.gv.at,"Lower Austria or GeoFence"
AT,DSO,"Licht- und Kraftvertrieb der Gemeinde Hollenstein",AT-Code,AT002130,0,lkv@hollenstein.at,"Lower Austria or GeoFence"
AT,DSO,"Lichtgenossenschaft Neukirchen eGen",AT-Code,AT004120,0,info@lichtgenossenschaft.at,"Salzburg or GeoFence"
AT,DSO,"LINZ NETZ GmbH",AT-Code,AT003100,0,office@linznetz.at,"Upper Austria or GeoFence"
AT,DSO,"Mag. Engelbert Julius Tassotti jun. (E-Werk Tassotti) ",AT-Code,AT008990,0,tassotti@gmail.com,"Styria or GeoFence"
AT,DSO,"Marktgemeinde Neumarkt Versorgungsbetriebsges.mbH",AT-Code,AT008420,0,g.hofer@ew-nmkt.at,"Styria or GeoFence"
AT,DSO,"Marktgemeinde Niklasdorf, EVU Niklasdorf",AT-Code,AT008330,0,evu@niklasdorf.steiermark.at,"Styria or GeoFence"
AT,DSO,"Montafonerbahn AG",AT-Code,AT006220,0,info@montafonerbahn.at,"Tyrol or GeoFence"
AT,DSO,"Murauer Stadtwerke GmbH",AT-Code,AT008430,0,tarifstelle@stadtwerke-murau.at,"Styria or GeoFence"
AT,DSO,"Netz Burgenland GmbH",AT-Code,AT009000,0,info@netzburgenland.at,"Burgenland or GeoFence"
AT,DSO,"Netz Niederösterreich GmbH",AT-Code,AT002000,0,"pdf-rechnung@netz-noe.at ","Lower Austria or GeoFence"
AT,DSO,"Netz Oberösterreich GmbH",AT-Code,AT003000,0,service@netzooe.at,"Upper Austria or GeoFence"
AT,DSO,"P.K. Energieversorgungs-GmbH",AT-Code,AT008630,0,strom@kiendler.at,"Styria or GeoFence"
AT,DSO,"Plövner Schmiede Betriebs GesmbH",AT-Code,AT005670,0,info@ploevnerschmiede.at,"Tyrol or GeoFence"
AT,DSO,"Polsterer Kerres Ruttin Holding GmbH",AT-Code,AT002270,0,office@polsterer-holding.at,"Lower Austria or GeoFence"
AT,DSO,"Revertera'sches E-Werk",AT-Code,AT003540,https://www.revertera.at/,strom@revertera.at,"Upper Austria or GeoFence"
AT,DSO,"Salzburg Netz GmbH",AT-Code,AT004000,https://www.salzburgnetz.at/,office@salzburg-ag.at,"Salzburg or GeoFence"
AT,DSO,"Schwarz, Wagendorffer & Co, Elektrizitätswerk GmbH ",AT-Code,AT008850,https://www.ewerk.at/,office@ewerk.at,"Styria or GeoFence"
AT,DSO,"Stadtbetriebe Mariazell GmbH",AT-Code,AT008440,https://www.sbm.or.at/,office@sbm.or.at,"Styria or GeoFence"
AT,DSO,"Städtische Betriebe Rottenmann GmbH",AT-Code,AT008350,http://www.sb-rottenmann.at/,office.sbr@rottenmann.at,"Styria or GeoFence"
AT,DSO,"Stadtwerke Amstetten ",AT-Code,AT002110,https://stadtwerke.amstetten.at/home/,,"Lower Austria or GeoFence"
AT,DSO,"Stadtwerke Bruck an der Mur GmbH",AT-Code,AT008140,https://www.stadtwerke-bruck.at/,office@stadtwerke-bruck.at,"Styria or GeoFence"
AT,DSO,"Stadtwerke Feldkirch",AT-Code,AT006110,https://www.stadtwerke-feldkirch.at/,kundencenter@stadtwerke-feldkirch.at,"Vorarlberg or GeoFence"
AT,DSO,"Stadtwerke Fürstenfeld GmbH",AT-Code,AT008150,http://www.stwff.at/,lang@stwff.at,"Styria or GeoFence"
AT,DSO,"Stadtwerke Hartberg Energieversorgungs GmbH",AT-Code,AT008470,https://www.stadtwerke-hartberg.at/,stadtwerke@stadtwerke-hartberg.at,"Styria or GeoFence"
AT,DSO,"Stadtwerke Imst",AT-Code,AT005370,https://www.stwimst.at/,stadtwerke@stwimst.at,"Vorarlberg or GeoFence"
AT,DSO,"Stadtwerke Judenburg Aktiengesellschaft",AT-Code,AT008160,https://stadtwerke.co.at/,office@stadtwerke.co.at,"Styria or GeoFence"
AT,DSO,"Stadtwerke Kapfenberg GmbH",AT-Code,AT008170,https://www.stadtwerke-kapfenberg.at/start.html,office@stadtwerke-kapfenberg.at,"Styria or GeoFence"
AT,DSO,"Stadtwerke Kitzbühel e.U.",AT-Code,AT005130,https://www.stadtwerke-kitzbuehel.at/,office@stwk.kitz.net,"Tyrol or GeoFence"
AT,DSO,"Stadtwerke Köflach GmbH",AT-Code,AT008180,https://www.stadtwerke-koeflach.at/,office@stadtwerke-koeflach.at,"Styria or GeoFence"
AT,DSO,"Stadtwerke Kufstein GmbH",AT-Code,AT005140,https://www.stwk.at/,kundenberatung-backoffice@stwk.at,"Vorarlberg or GeoFence"
AT,DSO,"Stadtwerke Mürzzuschlag Gesellschaft m.b.H.",AT-Code,AT008190,https://www.stadtwerke-mz.at/,office@stwmz.at;,"Styria or GeoFence"
AT,DSO,"Stadtwerke Schwaz GmbH",AT-Code,AT005150,https://www.stadtwerkeschwaz.at/,info@stadtwerkeschwaz.at,"Tyrol or GeoFence"
AT,DSO,"Stadtwerke Trofaiach Gesellschaft m.b.H.",AT-Code,AT008490,https://stadtwerke-trofaiach.at/,office@stadtwerke-trofaiach.at,"Styria or GeoFence"
AT,DSO,"Stadtwerke Voitsberg GmbH",AT-Code,AT008120,https://www.stadtwerke-voitsberg.at/,office@stadtwerkevoitsberg.at,"Styria or GeoFence"
AT,DSO,"Stadtwerke Wörgl GmbH",AT-Code,AT005160,https://www.stww.at/,info@stww.at,"Tyrol or GeoFence"
AT,DSO,"Stromnetz Graz GmbH & Co KG",AT-Code,AT008100,https://www.stromnetz-graz.at/,office@stromnetz-graz.at,"Styria or GeoFence"
AT,DSO,"TINETZ-Tiroler Netze GmbH",AT-Code,AT005000,https://www.tinetz.at/,sc@tinetz.at,"Tyrol or GeoFence"
AT,DSO,"Vorarlberger Energienetze GmbH",AT-Code,AT006000,https://www.vorarlbergnetz.at/,markus.eberle@vorarlbergnetz.at,"Vorarlberg or GeoFence"
AT,DSO,"Wasserkraft Sölden eGen",AT-Code,AT005610,https://www.wasserkraft-soelden.at/,info@wasserkraft-soelden.at,"Tyrol or GeoFence"
AT,DSO,"Wiener Netze GmbH",AT-Code,AT001000,https://www.wienernetze.at/,office@wienenergie.at,"Vienna or GeoFence"
AT,DSO,"wüsterstrom E-Werk GmbH",AT-Code,AT002230,https://www.wuesterstrom.at/,office@wuesterstrom.at,"Lower Austria or GeoFence"
FR,DSO,Enedis,n.a.,n.a.,https://enedis.fr,n.a.,
FR,DSO,"SRD Energies",n.a.,n.a.,https://www.srd-energies.fr/,n.a.,
