Country,"Market Role",Company,"Type of identification","Identification of organisation",Website,"Official Contact"
AT,DSO,"EVU Gerald Mathe e.U.",AT-Code,AT003570,http://www.mathestrom.at/,office@mathestrom.at
AT,DSO,"EWA Energie- u Wirtschaftsbetriebe der Gemeinde St. Anton GmbH",AT-Code,AT005320,https://www.ewa-services.at/,office@ewa-services.at
AT,DSO,"E-Werk Altenfelden GmbH",AT-Code,AT003900,,strom@freistrom.at
AT,DSO,"E-Werk der Marktgemeinde Unzmarkt-Frauenburg",AT-Code,AT008410,,evu@ainet.at
AT,DSO,"E-Werk Dietrichschlag eGen",AT-Code,AT003920,https://www.ewerk-dietrichschlag.at/startseite.html,e-werk.dietrichschlag@aon.at
AT,DSO,"E-Werk Ebner GesmbH",AT-Code,AT008730,,verwaltung@EWEbner.at
AT,DSO,"E-Werk Gleinstätten GmbH",AT-Code,AT008740,,office@ktg-austria.at
AT,DSO,"E-Werk Gösting Stromversorgung GmbH",AT-Code,AT008210,,a.froehlich@ewg.at
AT,DSO,"E-Werk Piwetz",AT-Code,AT008950,,office@ew-piwetz.at
AT,DSO,"E-Werk Ranklleiten",AT-Code,AT003590,https://ranklleiten.at,office@ranklleiten.at
AT,DSO,"E-Werk Redlmühle B. Drack Elektrotechnik ",AT-Code,AT003910,http://www.drackstrom.at/ws/frontend/seite/SeiteCms.php?coId=2&coType=navigation1,office@drackstrom.at
AT,DSO,"E-Werk Sarmingstein Ing. H. Engelmann & Co KG",AT-Code,AT002900,,ewsa@e-werke.at
AT,DSO,"E-Werk Schattwald e.U.",AT-Code,AT005340,https://ew-schattwald.at/,office@ew-schattwald.at
AT,DSO,"E-Werk Schwaighofer GmbH",AT-Code,AT002250,,e.werk@schwaighofer-lunz.at
AT,DSO,"E-Werk Sigl GmbH & Co KG",AT-Code,AT008540,,
AT,DSO,"E-Werk Stadler GmbH",AT-Code,AT005470,,info@elektro-stadler.at
AT,DSO,"E-Werk Stubenberg eGen",AT-Code,AT008910,,office@e-werk-stubenberg.at
AT,DSO,"eww AG",AT-Code,AT003300,,info@eww.at
AT,DSO,"Feistritzthaler Elektrizitätswerk eGen",AT-Code,AT008770,,s.brantweiner@ewerk-growi.at
AT,DSO,Feistritzwerke-STEWEAG-GmbH,AT-Code,AT008130,,office@feistritzwerke.at
AT,DSO,"Forstverwaltung Seehof GmbH",AT-Code,AT002280,,office@kupelwieser-forst.at
AT,DSO,"Gertraud Schafler GmbH",AT-Code,AT008690,,office@schaflerstrom.at
AT,DSO,"Getzner, Mutter & Cie. Gesellschaft m.b.H. & Co. KG",AT-Code,AT006240,,office.gmc@getzner.at
AT,DSO,"HALLAG Kommunal GmbH",AT-Code,AT005120,https://www.hall.ag/,c.neuzil@hall.ag
AT,DSO,"Heinrich Polsterer UND MITGES.GES.N.B.R.",AT-Code,AT002400,,h.polsterer@polsterer.co.at
AT,DSO,"Innsbrucker Kommunalbetriebe AG",AT-Code,AT005100,,snot@ikb.at
AT,DSO,"Joh. Pengg Holding Gesellschaft m.b.H.",AT-Code,AT008930,,pengg.holding@aon.at
AT,DSO,"K. u. F. Drack Gesellschaft m.b.H. & Co. KG.",AT-Code,AT003520,,office@kfd.at
AT,DSO,"KARLSTROM e.U.",AT-Code,AT003470,,service@karlstrom.at
AT,DSO,"Klausbauer Wasser Kraft GesmbH & Co KG",AT-Code,AT008250,,office@klausbauerwasserkraft.at
AT,DSO,"KNG-Kärnten Netz GmbH",AT-Code,AT007000,,office@kaerntennetz.at
AT,DSO,"Kommunalbetriebe Hopfgarten GmbH",AT-Code,AT005330,,office@kbh.at
AT,DSO,"Kommunalbetriebe Rinn GmbH",AT-Code,AT005650,,office@kbrinn.at
AT,DSO,"Kraftwerk Glatzing-Rüstorf eGen",AT-Code,AT003510,,kwg@kwg.at
AT,DSO,"Kraftwerk Reinisch GmbH",AT-Code,AT005690,,office@kw-reinisch.at
AT,DSO,"Kraftwerke Haim K.G.",AT-Code,AT005210,,info@kraftwerkhaim.at
AT,DSO,"Kraut E-Werk KG",AT-Code,AT008970,,reinhard.kraut@aon.at
AT,DSO,"Licht- u. Kraftstromvertrieb d. Marktgemeinde Göstling a.d. Ybbs",AT-Code,AT002120,,b.blamauer@goestling.com
AT,DSO,"Licht- und Kraftstromvertrieb der Gemeinde Opponitz",AT-Code,AT002300,,gemeinde@opponitz.gv.at
AT,DSO,"Licht- und Kraftvertrieb der Gemeinde Hollenstein",AT-Code,AT002130,,lkv@hollenstein.at
AT,DSO,"Lichtgenossenschaft Neukirchen eGen",AT-Code,AT004120,,info@lichtgenossenschaft.at
AT,DSO,"LINZ NETZ GmbH",AT-Code,AT003100,,office@linznetz.at
AT,DSO,"Mag. Engelbert Julius Tassotti jun. (E-Werk Tassotti) ",AT-Code,AT008990,,tassotti@gmail.com
AT,DSO,"Marktgemeinde Neumarkt Versorgungsbetriebsges.mbH",AT-Code,AT008420,,g.hofer@ew-nmkt.at
AT,DSO,"Marktgemeinde Niklasdorf, EVU Niklasdorf",AT-Code,AT008330,,evu@niklasdorf.steiermark.at
AT,DSO,"Montafonerbahn AG",AT-Code,AT006220,,info@montafonerbahn.at
AT,DSO,"Murauer Stadtwerke GmbH",AT-Code,AT008430,,tarifstelle@stadtwerke-murau.at
AT,DSO,"Netz Burgenland GmbH",AT-Code,AT009000,,info@netzburgenland.at
AT,DSO,"Netz Niederösterreich GmbH",AT-Code,AT002000,,"pdf-rechnung@netz-noe.at "
AT,DSO,"Netz Oberösterreich GmbH",AT-Code,AT003000,,service@netzooe.at
AT,DSO,"P.K. Energieversorgungs-GmbH",AT-Code,AT008630,,strom@kiendler.at
AT,DSO,"Plövner Schmiede Betriebs GesmbH",AT-Code,AT005670,,info@ploevnerschmiede.at
AT,DSO,"Polsterer Kerres Ruttin Holding GmbH",AT-Code,AT002270,,office@polsterer-holding.at
AT,DSO,"Revertera'sches E-Werk",AT-Code,AT003540,https://www.revertera.at/,strom@revertera.at
AT,DSO,"Salzburg Netz GmbH",AT-Code,AT004000,https://www.salzburgnetz.at/,office@salzburg-ag.at
AT,DSO,"Schwarz, Wagendorffer & Co, Elektrizitätswerk GmbH ",AT-Code,AT008850,https://www.ewerk.at/,office@ewerk.at
AT,DSO,"Stadtbetriebe Mariazell GmbH",AT-Code,AT008440,https://www.sbm.or.at/,office@sbm.or.at
AT,DSO,"Städtische Betriebe Rottenmann GmbH",AT-Code,AT008350,http://www.sb-rottenmann.at/,office.sbr@rottenmann.at
AT,DSO,"Stadtwerke Amstetten ",AT-Code,AT002110,https://stadtwerke.amstetten.at/home/,
AT,DSO,"Stadtwerke Bruck an der Mur GmbH",AT-Code,AT008140,https://www.stadtwerke-bruck.at/,office@stadtwerke-bruck.at
AT,DSO,"Stadtwerke Feldkirch",AT-Code,AT006110,https://www.stadtwerke-feldkirch.at/,kundencenter@stadtwerke-feldkirch.at
AT,DSO,"Stadtwerke Fürstenfeld GmbH",AT-Code,AT008150,http://www.stwff.at/,lang@stwff.at
AT,DSO,"Stadtwerke Hartberg Energieversorgungs GmbH",AT-Code,AT008470,https://www.stadtwerke-hartberg.at/,stadtwerke@stadtwerke-hartberg.at
AT,DSO,"Stadtwerke Imst",AT-Code,AT005370,https://www.stwimst.at/,stadtwerke@stwimst.at
AT,DSO,"Stadtwerke Judenburg Aktiengesellschaft",AT-Code,AT008160,https://stadtwerke.co.at/,office@stadtwerke.co.at
AT,DSO,"Stadtwerke Kapfenberg GmbH",AT-Code,AT008170,https://www.stadtwerke-kapfenberg.at/start.html,office@stadtwerke-kapfenberg.at
AT,DSO,"Stadtwerke Kitzbühel e.U.",AT-Code,AT005130,https://www.stadtwerke-kitzbuehel.at/,office@stwk.kitz.net
AT,DSO,"Stadtwerke Köflach GmbH",AT-Code,AT008180,https://www.stadtwerke-koeflach.at/,office@stadtwerke-koeflach.at
AT,DSO,"Stadtwerke Kufstein GmbH",AT-Code,AT005140,https://www.stwk.at/,kundenberatung-backoffice@stwk.at
AT,DSO,"Stadtwerke Mürzzuschlag Gesellschaft m.b.H.",AT-Code,AT008190,https://www.stadtwerke-mz.at/,office@stwmz.at;
AT,DSO,"Stadtwerke Schwaz GmbH",AT-Code,AT005150,https://www.stadtwerkeschwaz.at/,info@stadtwerkeschwaz.at
AT,DSO,"Stadtwerke Trofaiach Gesellschaft m.b.H.",AT-Code,AT008490,https://stadtwerke-trofaiach.at/,office@stadtwerke-trofaiach.at
AT,DSO,"Stadtwerke Voitsberg GmbH",AT-Code,AT008120,https://www.stadtwerke-voitsberg.at/,office@stadtwerkevoitsberg.at
AT,DSO,"Stadtwerke Wörgl GmbH",AT-Code,AT005160,https://www.stww.at/,info@stww.at
AT,DSO,"Stromnetz Graz GmbH & Co KG",AT-Code,AT008100,https://www.stromnetz-graz.at/,office@stromnetz-graz.at
AT,DSO,"TINETZ-Tiroler Netze GmbH",AT-Code,AT005000,https://www.tinetz.at/,sc@tinetz.at
AT,DSO,"Vorarlberger Energienetze GmbH",AT-Code,AT006000,https://www.vorarlbergnetz.at/,markus.eberle@vorarlbergnetz.at
AT,DSO,"Wasserkraft Sölden eGen",AT-Code,AT005610,https://www.wasserkraft-soelden.at/,info@wasserkraft-soelden.at
AT,DSO,"Wiener Netze GmbH",AT-Code,AT001000,https://www.wienernetze.at/,office@wienenergie.at
AT,DSO,"wüsterstrom E-Werk GmbH",AT-Code,AT002230,https://www.wuesterstrom.at/,office@wuesterstrom.at
FR,DSO,Enedis,n.a.,n.a.,tbd,n.a.
FR,DSO,"SRD Energies",n.a.,n.a.,tbd,n.a.
