Country,Market Role,Company,Type of identification,Identification of organisation,Website,Official Contact,Metering Grid Area,Metering Points served,Time of day for data availability ,Metering interval at the meter,Meter reading interval (Meter to DSO),Availability interval for 3rd parties,Permission Administrator
AT,DSO,Energie Ried Gesellschaft m.b.H.,AT-Code,AT003200,https://www.energie-ried.at/,office@energie-ried.at,,25430,,,,,Energie Ried Gesellschaft m.b.H.
AT,DSO,Energienetze Steiermark GmbH,AT-Code,AT008000,https://www.e-netze.at/,office@e-netze.at,,497204,,,,,Energienetze Steiermark GmbH
AT,DSO,Energieversorgung Kleinwalsertal Ges. m. b. H.,AT-Code,AT006230,https://www.evk.at/,info@evk.at,,3955,,,,,Energieversorgung Kleinwalsertal Ges. m. b. H.
AT,DSO,Energieversorgungs GmbH,AT-Code,AT003580,0,strom@mitheis.at,,203,,,,,Energieversorgungs GmbH
AT,DSO,Energieversorgungsunternehmen der Florian Lugitsch Gruppe GmbH,AT-Code,AT008580,https://www.e-lugitsch.at/,office@lugitsch.at,,5567,,,,,Energieversorgungsunternehmen der Florian Lugitsch Gruppe GmbH
AT,DSO,ENVESTA Energie- und Dienstleistungs GmbH,AT-Code,AT008560,https://www.envesta.at/,office@envesta.at,,3746,,,,,ENVESTA Energie- und Dienstleistungs GmbH
AT,DSO,EVU der Marktgemeinde Eibiswald,AT-Code,AT008390,0,evu@eibiswald.gv.at,,1324,,,,,EVU der Marktgemeinde Eibiswald
AT,DSO,EVU der Stadtgemeinde Mureck,AT-Code,AT008360,https://evu-mureck.at/,markus.neubauer@evu-mureck.at,,1706,,,,,EVU der Stadtgemeinde Mureck
AT,DSO,EVU Gerald Mathe e.U.,AT-Code,AT003570,http://www.mathestrom.at/,office@mathestrom.at,,332,,,,,EVU Gerald Mathe e.U.
AT,DSO,EWA Energie- u Wirtschaftsbetriebe der Gemeinde St. Anton GmbH,AT-Code,AT005320,https://www.ewa-services.at/,office@ewa-services.at,,2411,,,,,EWA Energie- u Wirtschaftsbetriebe der Gemeinde St. Anton GmbH
AT,DSO,E-Werk Altenfelden GmbH,AT-Code,AT003900,0,strom@freistrom.at,,157,,,,,E-Werk Altenfelden GmbH
AT,DSO,E-Werk der Marktgemeinde Unzmarkt-Frauenburg,AT-Code,AT008410,0,evu@ainet.at,,946,,,,,E-Werk der Marktgemeinde Unzmarkt-Frauenburg
AT,DSO,E-Werk Dietrichschlag eGen,AT-Code,AT003920,https://www.ewerk-dietrichschlag.at/startseite.html,e-werk.dietrichschlag@aon.at,,60,,,,,E-Werk Dietrichschlag eGen
AT,DSO,E-Werk Ebner GesmbH,AT-Code,AT008730,0,verwaltung@EWEbner.at,,7733,,,,,E-Werk Ebner GesmbH
AT,DSO,E-Werk Gleinstätten GmbH,AT-Code,AT008740,0,office@ktg-austria.at,,1159,,,,,E-Werk Gleinstätten GmbH
AT,DSO,E-Werk Gösting Stromversorgung GmbH,AT-Code,AT008210,0,a.froehlich@ewg.at,,29443,,,,,E-Werk Gösting Stromversorgung GmbH
AT,DSO,E-Werk Piwetz,AT-Code,AT008950,0,office@ew-piwetz.at,,643,,,,,E-Werk Piwetz
AT,DSO,E-Werk Ranklleiten,AT-Code,AT003590,https://ranklleiten.at,office@ranklleiten.at,,218,,,,,E-Werk Ranklleiten
AT,DSO,E-Werk Redlmühle B. Drack Elektrotechnik ,AT-Code,AT003910,http://www.drackstrom.at/ws/frontend/seite/SeiteCms.php?coId=2&coType=navigation1,office@drackstrom.at,,124,,,,,E-Werk Redlmühle B. Drack Elektrotechnik
AT,DSO,E-Werk Sarmingstein Ing. H. Engelmann & Co KG,AT-Code,AT002900,0,ewsa@e-werke.at,,64,,,,,E-Werk Sarmingstein Ing. H. Engelmann & Co KG
AT,DSO,E-Werk Schattwald e.U.,AT-Code,AT005340,https://ew-schattwald.at/,office@ew-schattwald.at,,1628,,,,,E-Werk Schattwald e.U.
AT,DSO,E-Werk Schwaighofer GmbH,AT-Code,AT002250,0,e.werk@schwaighofer-lunz.at,,834,,,,,E-Werk Schwaighofer GmbH
AT,DSO,E-Werk Sigl GmbH & Co KG,AT-Code,AT008540,0,,,1175,,,,,E-Werk Sigl GmbH & Co KG
AT,DSO,E-Werk Stadler GmbH,AT-Code,AT005470,0,info@elektro-stadler.at,,1501,,,,,E-Werk Stadler GmbH
AT,DSO,E-Werk Stubenberg eGen,AT-Code,AT008910,0,office@e-werk-stubenberg.at,,908,,,,,E-Werk Stubenberg eGen
AT,DSO,eww AG,AT-Code,AT003300,0,info@eww.at,,55103,,,,,eww AG
AT,DSO,Feistritzthaler Elektrizitätswerk eGen,AT-Code,AT008770,0,s.brantweiner@ewerk-growi.at,,1692,,,,,Feistritzthaler Elektrizitätswerk eGen
AT,DSO,Feistritzwerke-STEWEAG-GmbH,AT-Code,AT008130,0,office@feistritzwerke.at,,53845,,,,,Feistritzwerke-STEWEAG-GmbH
AT,DSO,Forstverwaltung Seehof GmbH,AT-Code,AT002280,0,office@kupelwieser-forst.at,,32,,,,,Forstverwaltung Seehof GmbH
AT,DSO,Gertraud Schafler GmbH,AT-Code,AT008690,0,office@schaflerstrom.at,,1494,,,,,Gertraud Schafler GmbH
AT,DSO,"Getzner, Mutter & Cie. Gesellschaft m.b.H. & Co. KG",AT-Code,AT006240,0,office.gmc@getzner.at,,3,,,,,"Getzner, Mutter & Cie. Gesellschaft m.b.H. & Co. KG"
AT,DSO,HALLAG Kommunal GmbH,AT-Code,AT005120,https://www.hall.ag/,c.neuzil@hall.ag,,19764,,,,,HALLAG Kommunal GmbH
AT,DSO,Heinrich Polsterer UND MITGES.GES.N.B.R.,AT-Code,AT002400,0,h.polsterer@polsterer.co.at,,82,,,,,Heinrich Polsterer UND MITGES.GES.N.B.R.
AT,DSO,Innsbrucker Kommunalbetriebe AG,AT-Code,AT005100,0,snot@ikb.at,,130100,,,,,Innsbrucker Kommunalbetriebe AG
AT,DSO,Joh. Pengg Holding Gesellschaft m.b.H.,AT-Code,AT008930,0,pengg.holding@aon.at,,98,,,,,Joh. Pengg Holding Gesellschaft m.b.H.
AT,DSO,K. u. F. Drack Gesellschaft m.b.H. & Co. KG.,AT-Code,AT003520,,office@kfd.at,,3027,,,,,K. u. F. Drack Gesellschaft m.b.H. & Co. KG.
AT,DSO,KARLSTROM e.U.,AT-Code,AT003470,0,service@karlstrom.at,,1074,,,,,KARLSTROM e.U.
AT,DSO,Klausbauer Wasser Kraft GesmbH & Co KG,AT-Code,AT008250,,office@klausbauerwasserkraft.at,,105,,,,,Klausbauer Wasser Kraft GesmbH & Co KG
AT,DSO,KNG-Kärnten Netz GmbH,AT-Code,AT007000,0,office@kaerntennetz.at,,309717,,,,,KNG-Kärnten Netz GmbH
AT,DSO,Kommunalbetriebe Hopfgarten GmbH,AT-Code,AT005330,0,office@kbh.at,,3363,,,,,Kommunalbetriebe Hopfgarten GmbH
AT,DSO,Kommunalbetriebe Rinn GmbH,AT-Code,AT005650,0,office@kbrinn.at,,1106,,,,,Kommunalbetriebe Rinn GmbH
AT,DSO,Kraftwerk Glatzing-Rüstorf eGen,AT-Code,AT003510,0,kwg@kwg.at,,5784,,,,,Kraftwerk Glatzing-Rüstorf eGen
AT,DSO,Kraftwerk Reinisch GmbH,AT-Code,AT005690,0,office@kw-reinisch.at,,72,,,,,Kraftwerk Reinisch GmbH
AT,DSO,Kraftwerke Haim K.G.,AT-Code,AT005210,0,info@kraftwerkhaim.at,,7940,,,,,Kraftwerke Haim K.G.
AT,DSO,Kraut E-Werk KG,AT-Code,AT008970,0,reinhard.kraut@aon.at,,72,,,,,Kraut E-Werk KG
AT,DSO,Licht- u. Kraftstromvertrieb d. Marktgemeinde Göstling a.d. Ybbs,AT-Code,AT002120,0,b.blamauer@goestling.com,,1062,,,,,Licht- u. Kraftstromvertrieb d. Marktgemeinde Göstling a.d. Ybbs
AT,DSO,Licht- und Kraftstromvertrieb der Gemeinde Opponitz,AT-Code,AT002300,0,gemeinde@opponitz.gv.at,,413,,,,,Licht- und Kraftstromvertrieb der Gemeinde Opponitz
AT,DSO,Licht- und Kraftvertrieb der Gemeinde Hollenstein,AT-Code,AT002130,0,lkv@hollenstein.at,,1079,,,,,Licht- und Kraftvertrieb der Gemeinde Hollenstein
AT,DSO,Lichtgenossenschaft Neukirchen eGen,AT-Code,AT004120,0,info@lichtgenossenschaft.at,,1199,,,,,Lichtgenossenschaft Neukirchen eGen
AT,DSO,LINZ NETZ GmbH,AT-Code,AT003100,0,office@linznetz.at,,287297,,,,,LINZ NETZ GmbH
AT,DSO,Mag. Engelbert Julius Tassotti jun. (E-Werk Tassotti) ,AT-Code,AT008990,0,tassotti@gmail.com,,250,,,,,Mag. Engelbert Julius Tassotti jun. (E-Werk Tassotti)
AT,DSO,Marktgemeinde Neumarkt Versorgungsbetriebsges.mbH,AT-Code,AT008420,0,g.hofer@ew-nmkt.at,,3509,,,,,Marktgemeinde Neumarkt Versorgungsbetriebsges.mbH
AT,DSO,"Marktgemeinde Niklasdorf, EVU Niklasdorf",AT-Code,AT008330,0,evu@niklasdorf.steiermark.at,,2185,,,,,"Marktgemeinde Niklasdorf, EVU Niklasdorf"
AT,DSO,Montafonerbahn AG,AT-Code,AT006220,0,info@montafonerbahn.at,,7197,,,,,Montafonerbahn AG
AT,DSO,Murauer Stadtwerke GmbH,AT-Code,AT008430,0,tarifstelle@stadtwerke-murau.at,,3590,,,,,Murauer Stadtwerke GmbH
AT,DSO,Netz Burgenland GmbH,AT-Code,AT009000,0,info@netzburgenland.at,,207046,,,,,Netz Burgenland GmbH
AT,DSO,Netz Niederösterreich GmbH,AT-Code,AT002000,0,pdf-rechnung@netz-noe.at ,,846024,,,,,Netz Niederösterreich GmbH
AT,DSO,Netz Oberösterreich GmbH,AT-Code,AT003000,0,service@netzooe.at,,675380,,,,,Netz Oberösterreich GmbH
AT,DSO,P.K. Energieversorgungs-GmbH,AT-Code,AT008630,0,strom@kiendler.at,,5177,,,,,P.K. Energieversorgungs-GmbH
AT,DSO,Plövner Schmiede Betriebs GesmbH,AT-Code,AT005670,0,info@ploevnerschmiede.at,,4,,,,,Plövner Schmiede Betriebs GesmbH
AT,DSO,Polsterer Kerres Ruttin Holding GmbH,AT-Code,AT002270,0,office@polsterer-holding.at,,733,,,,,Polsterer Kerres Ruttin Holding GmbH
AT,DSO,Revertera'sches E-Werk,AT-Code,AT003540,https://www.revertera.at/,strom@revertera.at,,479,,,,,Revertera'sches E-Werk
AT,DSO,Salzburg Netz GmbH,AT-Code,AT004000,https://www.salzburgnetz.at/,office@salzburg-ag.at,,449993,,,,,Salzburg Netz GmbH
AT,DSO,"Schwarz, Wagendorffer & Co, Elektrizitätswerk GmbH ",AT-Code,AT008850,https://www.ewerk.at/,office@ewerk.at,,3510,,,,,"Schwarz, Wagendorffer & Co, Elektrizitätswerk GmbH "
AT,DSO,Stadtbetriebe Mariazell GmbH,AT-Code,AT008440,https://www.sbm.or.at/,office@sbm.or.at,,3273,,,,,Stadtbetriebe Mariazell GmbH
AT,DSO,Städtische Betriebe Rottenmann GmbH,AT-Code,AT008350,http://www.sb-rottenmann.at/,office.sbr@rottenmann.at,,3923,,,,,Städtische Betriebe Rottenmann GmbH
AT,DSO,Stadtwerke Amstetten ,AT-Code,AT002110,https://stadtwerke.amstetten.at/home/,,,11519,,,,,Stadtwerke Amstetten
AT,DSO,Stadtwerke Bruck an der Mur GmbH,AT-Code,AT008140,https://www.stadtwerke-bruck.at/,office@stadtwerke-bruck.at,,15919,,,,,Stadtwerke Bruck an der Mur GmbH
AT,DSO,Stadtwerke Feldkirch,AT-Code,AT006110,https://www.stadtwerke-feldkirch.at/,kundencenter@stadtwerke-feldkirch.at,,22017,,,,,Stadtwerke Feldkirch
AT,DSO,Stadtwerke Fürstenfeld GmbH,AT-Code,AT008150,http://www.stwff.at/,lang@stwff.at,,7351,,,,,Stadtwerke Fürstenfeld GmbH
AT,DSO,Stadtwerke Hartberg Energieversorgungs GmbH,AT-Code,AT008470,https://www.stadtwerke-hartberg.at/,stadtwerke@stadtwerke-hartberg.at,,7000,,,,,Stadtwerke Hartberg Energieversorgungs GmbH
AT,DSO,Stadtwerke Imst,AT-Code,AT005370,https://www.stwimst.at/,stadtwerke@stwimst.at,,7336,,,,,Stadtwerke Imst
AT,DSO,Stadtwerke Judenburg Aktiengesellschaft,AT-Code,AT008160,https://stadtwerke.co.at/,office@stadtwerke.co.at,,20176,,,,,Stadtwerke Judenburg Aktiengesellschaft
AT,DSO,Stadtwerke Kapfenberg GmbH,AT-Code,AT008170,https://www.stadtwerke-kapfenberg.at/start.html,office@stadtwerke-kapfenberg.at,,18997,,,,,Stadtwerke Kapfenberg GmbH
AT,DSO,Stadtwerke Kitzbühel e.U.,AT-Code,AT005130,https://www.stadtwerke-kitzbuehel.at/,office@stwk.kitz.net,,9310,,,,,Stadtwerke Kitzbühel e.U.
AT,DSO,Stadtwerke Köflach GmbH,AT-Code,AT008180,https://www.stadtwerke-koeflach.at/,office@stadtwerke-koeflach.at,,10449,,,,,Stadtwerke Köflach GmbH
AT,DSO,Stadtwerke Kufstein GmbH,AT-Code,AT005140,https://www.stwk.at/,kundenberatung-backoffice@stwk.at,,16819,,,,,Stadtwerke Kufstein GmbH
AT,DSO,Stadtwerke Mürzzuschlag Gesellschaft m.b.H.,AT-Code,AT008190,https://www.stadtwerke-mz.at/,office@stwmz.at;,,10049,,,,,Stadtwerke Mürzzuschlag Gesellschaft m.b.H.
AT,DSO,Stadtwerke Schwaz GmbH,AT-Code,AT005150,https://www.stadtwerkeschwaz.at/,info@stadtwerkeschwaz.at,,15215,,,,,Stadtwerke Schwaz GmbH
AT,DSO,Stadtwerke Trofaiach Gesellschaft m.b.H.,AT-Code,AT008490,https://stadtwerke-trofaiach.at/,office@stadtwerke-trofaiach.at,,8217,,,,,Stadtwerke Trofaiach Gesellschaft m.b.H.
AT,DSO,Stadtwerke Voitsberg GmbH,AT-Code,AT008120,https://www.stadtwerke-voitsberg.at/,office@stadtwerkevoitsberg.at,,10994,,,,,Stadtwerke Voitsberg GmbH
AT,DSO,Stadtwerke Wörgl GmbH,AT-Code,AT005160,https://www.stww.at/,info@stww.at,,11555,,,,,Stadtwerke Wörgl GmbH
AT,DSO,Stromnetz Graz GmbH & Co KG,AT-Code,AT008100,https://www.stromnetz-graz.at/,office@stromnetz-graz.at,,186466,,,,,Stromnetz Graz GmbH & Co KG
AT,DSO,TINETZ-Tiroler Netze GmbH,AT-Code,AT005000,https://www.tinetz.at/,sc@tinetz.at,,246000,,,,,TINETZ-Tiroler Netze GmbH
AT,DSO,Vorarlberger Energienetze GmbH,AT-Code,AT006000,https://www.vorarlbergnetz.at/,markus.eberle@vorarlbergnetz.at,,226134,,,,,Vorarlberger Energienetze GmbH
AT,DSO,Wasserkraft Sölden eGen,AT-Code,AT005610,https://www.wasserkraft-soelden.at/,info@wasserkraft-soelden.at,,91,,,,,Wasserkraft Sölden eGen
AT,DSO,Wiener Netze GmbH,AT-Code,AT001000,https://www.wienernetze.at/,office@wienenergie.at,,1582154,,,,,Wiener Netze GmbH
AT,DSO,wüsterstrom E-Werk GmbH,AT-Code,AT002230,https://www.wuesterstrom.at/,office@wuesterstrom.at,,3614,,,,,wüsterstrom E-Werk GmbH
FR,DSO,Enedis,n.a.,n.a.,https://enedis.fr,serviceclients-api@enedis.fr,,36951446,,,,,Enedis
FR,DSO,SRD Energies,n.a.,n.a.,https://www.srd-energies.fr/,n.a.,,149793,,,,,SRD Energies
IT,DSO,ACEGASAPSAMGA S.P.A.,ID-Sogetto ARERA,926,http://www.acegasapsamga.it,info.pd@acegasapsamga.it,,n.a.,,,,,ACEGASAPSAMGA S.P.A.
IT,DSO,AIR AZIENDA INTERCOMUNALE ROTALIANA S.P.A. SOCIETÀ BENEFIT,ID-Sogetto ARERA,1417,https://www.airspa.it/,info@airspa.it,,n.a.,,,,,AIR AZIENDA INTERCOMUNALE ROTALIANA S.P.A. SOCIETÀ BENEFIT
IT,DSO,ALTO GARDA SERVIZI SPA,ID-Sogetto ARERA,927,http://www.altogardaservizi.com,info@altogardaservizi.com,,n.a.,,,,,ALTO GARDA SERVIZI SPA
IT,DSO,AMAIE SPA,ID-Sogetto ARERA,439,https://www.amaie.it,info@amaie.it,,n.a.,,,,,AMAIE SPA
IT,DSO,AMEA S.P.A.,ID-Sogetto ARERA,335,http://www.amea.it,webmaster@amea.it,,n.a.,,,,,AMEA S.P.A.
IT,DSO,AMET S.P.A.,ID-Sogetto ARERA,888,http://www.ametspa.it,commerciale@ametspa.it,,n.a.,,,,,AMET S.P.A.
IT,DSO,AMIAS SERVIZI SRL,ID-Sogetto ARERA,433,https://comunediselvino.it/contenuti/64166/amias-servizi-sua-storia,pierangelo.bertocchi@amiasservizi.it,,n.a.,,,,,AMIAS SERVIZI SRL
IT,DSO,ARETI SPA,ID-Sogetto ARERA,338,https://www.areti.it/home.php,,,n.a.,,,,,ARETI SPA
IT,DSO,ASM BRESSANONE SPA,ID-Sogetto ARERA,1343,http://www.asmb.it,mail@asmb.it,,n.a.,,,,,ASM BRESSANONE SPA
IT,DSO,ASM TERNI S.P.A.,ID-Sogetto ARERA,1095,http://www.asmterni.it,asmterni@asmterni.it,,n.a.,,,,,ASM TERNI S.P.A.
IT,DSO,ASM TIONE - AZIENDA SERVIZI MUNICIPALIZZATI,ID-Sogetto ARERA,780,http://www.asmtione.it,asm@asmtione.it,,n.a.,,,,,ASM TIONE - AZIENDA SERVIZI MUNICIPALIZZATI
IT,DSO,ASM VERCELLI SPA,ID-Sogetto ARERA,990,http://www.asmvercelli.it,paolo.roggero@asmvercelli.it,,n.a.,,,,,ASM VERCELLI SPA
IT,DSO,ASPM SORESINA SERVIZI SRL,ID-Sogetto ARERA,896,http://www.aspmsoresina.it/,info@aspmsoresina.it,,n.a.,,,,,ASPM SORESINA SERVIZI SRL
IT,DSO,A.S.SE.M. SPA,ID-Sogetto ARERA,230,http://www.assemspa.it,p.migliozzi@assemspa.it,,n.a.,,,,,A.S.SE.M. SPA
IT,DSO,A.S.S.M. S.P.A. - TOLENTINO,ID-Sogetto ARERA,1392,http://www.assm.it,segreteria@assm.it,,n.a.,,,,,A.S.S.M. S.P.A. - TOLENTINO
IT,DSO,AURINO ENERGIA SRL,ID-Sogetto ARERA,941,,,,n.a.,,,,,AURINO ENERGIA SRL
IT,DSO,AZ. EL. HALLER SAS DI KRUSELBURGHER ANDREAS,ID-Sogetto ARERA,471,http://www.energy-dis.it/haller/,info@schneeberg.it,,n.a.,,,,,AZ. EL. HALLER SAS DI KRUSELBURGHER ANDREAS
IT,DSO,AZIENDA ELETTRICA ANTERSELVA SRL,ID-Sogetto ARERA,1039,https://ew-antholz.e-bz.it/de,pallhuber@ewantholz.it,,n.a.,,,,,AZIENDA ELETTRICA ANTERSELVA SRL
IT,DSO,AZIENDA ELETTRICA CASIES SOCIETÀ COOP.,ID-Sogetto ARERA,1760,https://customers.psaierenergies.it/gsies,info@ewerk-gsies.it,,n.a.,,,,,AZIENDA ELETTRICA CASIES SOCIETÀ COOP.
IT,DSO,AZIENDA ELETTRICA CHIENES S.R.L.,ID-Sogetto ARERA,617,http://www.ew-kiens.it/,e-werk-kiens@rolmail.net,,n.a.,,,,,AZIENDA ELETTRICA CHIENES S.R.L.
IT,DSO,AZIENDA ELETTRICA DOBBIACO SPA,ID-Sogetto ARERA,640,http://www.ewtoblach.it,info@ewtoblach.it,,n.a.,,,,,AZIENDA ELETTRICA DOBBIACO SPA
IT,DSO,AZIENDA ELETTRICA GANTERER S.A.S.,ID-Sogetto ARERA,1053,http://www.energy-dis.it/ganterer/,info@sachsenklemme.it,,n.a.,,,,,AZIENDA ELETTRICA GANTERER S.A.S.
IT,DSO,AZIENDA ELETTRICA KALMTAL,ID-Sogetto ARERA,581,,ew-kalmtal@brennercom.net,,n.a.,,,,,AZIENDA ELETTRICA KALMTAL
IT,DSO,AZIENDA ELETTRICA LA VALLE COOPERATIVA,ID-Sogetto ARERA,663,http://www.ael-eww.it/page1955.aspx,info@ael-eww.it,,n.a.,,,,,AZIENDA ELETTRICA LA VALLE COOPERATIVA
IT,DSO,AZIENDA ELETTRICA LUSON,ID-Sogetto ARERA,799,http://www.ewerk-luesen.it/,,,n.a.,,,,,AZIENDA ELETTRICA LUSON
IT,DSO,AZIENDA ELETTRICA STEIN S.R.L.,ID-Sogetto ARERA,1014,http://www.energy-dis.it/stein/,stein@profimail.it,,n.a.,,,,,AZIENDA ELETTRICA STEIN S.R.L.
IT,DSO,AZIENDA ELETTRICA STELVIO SOC. COOP,ID-Sogetto ARERA,506,http://www.ewstilfs.it,info@ewstilfs.it,,n.a.,,,,,AZIENDA ELETTRICA STELVIO SOC. COOP
IT,DSO,AZIENDA ELETTRICA VERSCIACO PRATO ALLA DRAVA SOC. COOP. A R.L.,ID-Sogetto ARERA,914,http://www.ewerk-vierschach.it/,info@ewerk-vierschach.it,,n.a.,,,,,AZIENDA ELETTRICA VERSCIACO PRATO ALLA DRAVA SOC. COOP. A R.L.
IT,DSO,AZIENDA ELETTRICA WEISSTEINER SRL,ID-Sogetto ARERA,1603,http://www.energy-dis.it/weissteiner/,,,n.a.,,,,,AZIENDA ELETTRICA WEISSTEINER SRL
IT,DSO,AZIENDA ENERGETICA FUNES SOCIETÀ COOPERATIVA,ID-Sogetto ARERA,1015,http://www.energie-villnoess.it/,info@energie-villnoess.it,,n.a.,,,,,AZIENDA ENERGETICA FUNES SOCIETÀ COOPERATIVA
