Country,Market Role,Company,Short Name,Type of identification,Identification of organisation,Approximate wait time for user to see request,Jumpoff URL to Permission Portal,Website,Official Contact,Permission Management Responsibility,Documentation of access,Identity service provider,Eligible party on-boarding,Eligible party test on-boarding,Price list for access to data by eligible parties
AT,DSO,Elektrizitätswerk der Gemeinde Kematen,Elektrizitätswerk Kematen,AT-Code,AT005350,,-,https://ewerk.kematenintirol.at/,gemeindewerke.kematen@aon.at,Elektrizitätswerk der Gemeinde Kematen,https://www.ebutilities.at/home.html,Elektrizitätswerk der Gemeinde Kematen,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrizitätswerk der Stadtgemeinde Kindberg,Elektrizitätswerk Kindberg,AT-Code,AT008110,,https://kindberg-davidvo.mein-portal.at/kundenportal,https://www.ewerk-kindberg.at/,sekretariat@ewerk-kindberg.at,Elektrizitätswerk der Stadtgemeinde Kindberg,https://www.ebutilities.at/home.html,Elektrizitätswerk der Stadtgemeinde Kindberg,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrizitätswerk Eisenhuber GmbH & Co KG,Elektrizitätswerk Eisenhuber,AT-Code,AT002210,,https://eisenhuber-davidvo.mein-portal.at/kundenportal,https://www.eisenhuber.com/,johann.wagner@eisenhuber.com,Elektrizitätswerk Eisenhuber GmbH & Co KG,https://www.ebutilities.at/home.html,Elektrizitätswerk Eisenhuber GmbH & Co KG,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,"Elektrizitätswerk Fernitz, Ing. Franz Purkarthofer GmbH & Co KG.",Elektrizitätswerk Fernitz,AT-Code,AT008570,,https://smartmeter.ewerkfernitz.at/SEM.Portal/Login.aspx?ReturnUrl=%2fSEM.Portal,https://ewerkfernitz.at/,office@ewerkfernitz.at,"Elektrizitätswerk Fernitz, Ing. Franz Purkarthofer GmbH & Co KG.",https://www.ebutilities.at/home.html,"Elektrizitätswerk Fernitz, Ing. Franz Purkarthofer GmbH & Co KG.",https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrizitätswerk Gröbming KG,Elektrizitätswerk Gröbming,AT-Code,AT008620,,-,https://www.das-ewerk.at/,office@ewerk-groebming.at,Elektrizitätswerk Gröbming KG,https://www.ebutilities.at/home.html,Elektrizitätswerk Gröbming KG,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrizitätswerk Mürzsteg,Elektrizitätswerk Mürzsteg,AT-Code,AT008370,,-,http://www.neuberg-muerz.gv.at/e-werk-muerzsteg-2/,m.seiser@muerzsteg.at,Elektrizitätswerk Mürzsteg,https://www.ebutilities.at/home.html,Elektrizitätswerk Mürzsteg,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrizitätswerk Perg GmbH,Elektrizitätswerk Perg,AT-Code,AT003310,,-,https://www.ewerk-perg.at/,ewerk@ewerk-perg.at,Elektrizitätswerk Perg GmbH,https://www.ebutilities.at/home.html,Elektrizitätswerk Perg GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrizitätswerk Prantl Gesellschaft m.b.H.,Elektrizitätswerk Prantl,AT-Code,AT005460,,https://portal.prantlstrom.at/,https://www.prantlstrom.at/,ew-prantl@tirol.com,Elektrizitätswerk Prantl Gesellschaft m.b.H.,https://www.ebutilities.at/home.html,Elektrizitätswerk Prantl Gesellschaft m.b.H.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrizitätswerk Winkler GmbH,Elektrizitätswerk Winkler,AT-Code,AT005480,,https://kundenportal.e-werk-winkler.at/,http://www.e-werk-winkler.at/,e.werk.winkler@aon.at,Elektrizitätswerk Winkler GmbH,https://www.ebutilities.at/home.html,Elektrizitätswerk Winkler GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrizitätswerke Bad Radkersburg GmbH,Elektrizitätswerke Bad Radkersburg,AT-Code,AT008450,,https://meinkundenportal.ewerk-badradkersburg.at/auth/login?returnUrl=%2Fauth%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3Dportal-ewerk-badradkersburg%26redirect_uri%3Dhttps%253A%252F%252Fmeinkundenportal.ewerk-badradkersburg.at%252Fportal%252Fsignin-oidc%26response_type%3Dcode%2520id_token%26scope%3Dopenid%2520profile%26response_mode%3Dform_post%26nonce%3D638161056202686885.NjZiMTQ2YjQtYzQ2YS00MDI4LTgzY2MtOGIyMzY2MjU3ZTZmZDk2YTZmZTUtYTU1MS00NzM1LTllMjktY2U0MzJjODhjN2Zl%26state%3DCfDJ8NyFwDxMCwtPmpUthlu-su5bz2EDlctPDEgpXJfrUWY9Ju6W49nVKXLZPly-asgo1aC1ZQQhnJuaAGu3PNd0Q9C0HpNAjiYRdL7rZRvpE2He8Mfg66yq4uwp9oikQ6-uNwrI84WkVn0vzx0131TkRrLKZLF4PsIDNtsKz76F2NxtIGDSQvvT_0tSk6eB2vAzVOvKXL7jgNdQvM5JnAhZOrBveYPypXgCKITYJZZu6Ry1-x0FdOt35bGVxO53wOBC2dx3nARx73oHDLsorMbtWt1KOJT2lkJ6l-_YpxX67NDsoayfCPmXmcyNbWQu4IwKbydBz4LjdSHkTnFcD-3S9N5kzVjP9_Xk4nzMMnPnHGhX-mCODrRJmCq_YpUGA0MmwzSinMlwQhUIZvQLTz6-tcc%26x-client-SKU%3DID_NETSTANDARD2_0%26x-client-ver%3D5.3.0.0,https://www.ewerk-badradkersburg.at/,,Elektrizitätswerke Bad Radkersburg GmbH,https://www.ebutilities.at/home.html,Elektrizitätswerke Bad Radkersburg GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrizitätswerke Frastanz Gesellschaft m.b.H.,Elektrizitätswerke Frastanz,AT-Code,AT006210,,https://identity.ewerke.at/Identity/Login?ReturnUrl=http%3A%2F%2Fidentity%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3Dcustomer-portal%26redirect_uri%3Dhttp%253A%252F%252Fvkwweb%252Fsignin-oidc%26response_type%3Dcode%26scope%3Dopenid%2520profile%2520phone%2520email%2520offline_access%2520sap%2520applogs%26code_challenge%3DWEr4kBw6YAo8gRnP64Pw261CS85O_1zXT9g3Jri62MU%26code_challenge_method%3DS256%26response_mode%3Dform_post%26nonce%3D638161056816976948.M2ZhOWFlNTItYzA3ZS00OWY0LWIwYzMtNzBkNzhlZTZhMjQ4YWEwZWMwZWYtY2I4ZC00MWJjLTk0NDQtNGE0MDIyNTVmYWZl%26state%3DCfDJ8HH5HCMzjmFNptSC6sVP0d0luCKuo5WIpxYEYBVhEa5iaIPjzq50LJhZonrxef3H9Pq8EgUUBCPkMXjLIPKw69k6GH9VgQELbCT1gJVOCz01ltMOTsJ8GTLCZsJye3BrA5NW_f6MDKi9WfgrIUQJkyZjKKoWU2T-1FEqQE4AeH9oH8GTjHX7_mPRAb-Ibn6Ld3hjYnHfwxBSdTyq40nqS6bFVPK7j_aiI939sq1sntGps5SW9EBOBdzRANzNvpFmbbD8Qkd-rL-43QgzD4kajjd-YMxpf-Fgfw-Pgu-z991o3L_ndwi11WzyuuOR-qEa_8fAt53ek1bbLPmjZ5PAveTkAIxlJnKNhz-d3EYQ4RGCnXoTVWTWsxJoFSiVf1pxIHXAE8mogi6xDaTlutqeihewq7oOjq8Jl4dgPLo076tZasXsVOqVKU2nHXdrsvQekFWqd32PnMycArxt1KT5Kqw%26x-client-SKU%3DID_NETSTANDARD2_0%26x-client-ver%3D6.10.0.0,https://www.ewerke.at/,info@ewerke.at,Elektrizitätswerke Frastanz Gesellschaft m.b.H.,https://www.ebutilities.at/home.html,Elektrizitätswerke Frastanz Gesellschaft m.b.H.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrizitätswerke Reutte AG,Elektrizitätswerke Reutte,AT-Code,AT005110,,https://kundenportal.ewr-energie.at/,https://www.ewr-energie.com/,edm@ewr.at,Elektrizitätswerke Reutte AG,https://www.ebutilities.at/home.html,Elektrizitätswerke Reutte AG,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektriztätswerk Mariahof GmbH,Elektriztätswerk Mariahof,AT-Code,AT008650,,https://mariahof-davidvo.mein-portal.at/kundenportal,http://www.ewerk-mariahof.at/,office@ewerk-mariahof.at,Elektriztätswerk Mariahof GmbH,https://www.ebutilities.at/home.html,Elektriztätswerk Mariahof GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrogenossenschaft Weerberg reg. Gen.m.b.H.,Elektrogenossenschaft Weerberg,AT-Code,AT005630,,-,,info@e-g-w.at,Elektrogenossenschaft Weerberg reg. Gen.m.b.H.,https://www.ebutilities.at/home.html,Elektrogenossenschaft Weerberg reg. Gen.m.b.H.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrowerk Assling reg. Gen.m.b.H.,Elektrowerk Assling,AT-Code,AT005490,,https://kundenportal.ewa.at/,https://www.ewa.at/,ewa@ewa.at,Elektrowerk Assling reg. Gen.m.b.H.,https://www.ebutilities.at/home.html,Elektrowerk Assling reg. Gen.m.b.H.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrowerk Schöder GmbH,Elektrowerk Schöder,AT-Code,AT008720,,https://schoeder-davidvo.mein-portal.at/kundenportal,https://www.evu-schoeder.at/,office@evu-schoeder.at,Elektrowerk Schöder GmbH,https://www.ebutilities.at/home.html,Elektrowerk Schöder GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Elektrowerkgenossenschaft Hopfgarten i. Def. reg. Gen. m. b. H.,Elektrowerkgenossenschaft Hopfgarten,AT-Code,AT005600,,https://portal.ew-hopfgarten.at/,https://www.ew-hopfgarten.at/,office@ew-hopfgarten.at,Elektrowerkgenossenschaft Hopfgarten i. Def. reg. Gen. m. b. H.,https://www.ebutilities.at/home.html,Elektrowerkgenossenschaft Hopfgarten i. Def. reg. Gen. m. b. H.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Energie Güssing GmbH,Energie Güssing,AT-Code,AT009220,,-,https://e-guessing.at/,office@e-guessing.at,Energie Güssing GmbH,https://www.ebutilities.at/home.html,Energie Güssing GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Energie Klagenfurt GmbH,Energie Klagenfurt,AT-Code,AT007100,,https://www.energieklagenfurt.at/login/,https://www.energieklagenfurt.at,office@energieklagenfurt.at,Energie Klagenfurt GmbH,https://www.ebutilities.at/home.html,Energie Klagenfurt GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Energie Ried Gesellschaft m.b.H.,Energie Ried Gesellschaft,AT-Code,AT003200,,https://kundenportal.energie-ried.at/portal/,https://www.energie-ried.at/,office@energie-ried.at,Energie Ried Gesellschaft m.b.H.,https://www.ebutilities.at/home.html,Energie Ried Gesellschaft m.b.H.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Energienetze Steiermark GmbH,Energienetze Steiermark,AT-Code,AT008000,,https://login.e-netze.at/auth/realms/enetze/protocol/openid-connect/auth?client_id=enetze-en&redirect_uri=https%3A%2F%2Fportal.e-netze.at%2Fkunde&response_mode=query&response_type=code&scope=openid#/,https://www.e-netze.at/,office@e-netze.at,Energienetze Steiermark GmbH,https://www.ebutilities.at/home.html,Energienetze Steiermark GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Energieversorgung Kleinwalsertal Ges. m. b. H.,Kleinwalsertal,AT-Code,AT006230,,https://account.evk.at/login,https://www.evk.at/,info@evk.at,Energieversorgung Kleinwalsertal Ges. m. b. H.,https://www.ebutilities.at/home.html,Energieversorgung Kleinwalsertal Ges. m. b. H.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Energieversorgungs GmbH,Energieversorgungs GmbH,AT-Code,AT003580,,-,,strom@mitheis.at,Energieversorgungs GmbH,https://www.ebutilities.at/home.html,Energieversorgungs GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,Energieversorgungsunternehmen der Florian Lugitsch Gruppe GmbH,Florian Lugitsch Gruppe,AT-Code,AT008580,,https://lugitsch.mein-portal.at/kundenportal,https://www.e-lugitsch.at/,office@lugitsch.at,Energieversorgungsunternehmen der Florian Lugitsch Gruppe GmbH,https://www.ebutilities.at/home.html,Energieversorgungsunternehmen der Florian Lugitsch Gruppe GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,ENVESTA Energie- und Dienstleistungs GmbH,ENVESTA,AT-Code,AT008560,,-,https://www.envesta.at/,office@envesta.at,ENVESTA Energie- und Dienstleistungs GmbH,https://www.ebutilities.at/home.html,ENVESTA Energie- und Dienstleistungs GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,EVU der Marktgemeinde Eibiswald,EVU Eibiswald,AT-Code,AT008390,,-,,evu@eibiswald.gv.at,EVU der Marktgemeinde Eibiswald,https://www.ebutilities.at/home.html,EVU der Marktgemeinde Eibiswald,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,EVU der Stadtgemeinde Mureck,EVU Mureck,AT-Code,AT008360,,-,https://evu-mureck.at/,markus.neubauer@evu-mureck.at,EVU der Stadtgemeinde Mureck,https://www.ebutilities.at/home.html,EVU der Stadtgemeinde Mureck,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,EVU Gerald Mathe e.U.,EVU Gerald Mathe,AT-Code,AT003570,,-,http://www.mathestrom.at/,office@mathestrom.at,EVU Gerald Mathe e.U.,https://www.ebutilities.at/home.html,EVU Gerald Mathe e.U.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,EWA Energie- u Wirtschaftsbetriebe der Gemeinde St. Anton GmbH,EWA St. Anton,AT-Code,AT005320,,-,https://www.ewa-services.at/,office@ewa-services.at,EWA Energie- u Wirtschaftsbetriebe der Gemeinde St. Anton GmbH,https://www.ebutilities.at/home.html,EWA Energie- u Wirtschaftsbetriebe der Gemeinde St. Anton GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,E-Werk Altenfelden GmbH,E-Werk Altenfelden,AT-Code,AT003900,,-,,strom@freistrom.at,E-Werk Altenfelden GmbH,https://www.ebutilities.at/home.html,E-Werk Altenfelden GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,E-Werk der Marktgemeinde Unzmarkt-Frauenburg,E-Werk Unzmarkt-Frauenburg,AT-Code,AT008410,,-,,evu@ainet.at,E-Werk der Marktgemeinde Unzmarkt-Frauenburg,https://www.ebutilities.at/home.html,E-Werk der Marktgemeinde Unzmarkt-Frauenburg,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,E-Werk Dietrichschlag eGen,E-Werk Dietrichschlag,AT-Code,AT003920,,https://ewerk-dietrichschlag.verbrauch.at/auth/login?returnUrl=%2Fauth%2Fconnect%2Fauthorize%2Fcallback%3Fclient_id%3Dportal-ewerk-dietrichschlag%26redirect_uri%3Dhttps%253A%252F%252Fewerk-dietrichschlag.verbrauch.at%252Fportal%252Fsignin-oidc%26response_type%3Dcode%2520id_token%26scope%3Dopenid%2520profile%26response_mode%3Dform_post%26nonce%3D638161062750956632.OGE5NzAwMWYtOWM5OS00ZmNjLWE4ZGUtNTIwMDFjMWIyYTMxYWY4NWJjMmQtYWUwNC00YWY5LTk1ZjQtM2I3NDQ3MmUyYTIy%26state%3DCfDJ8Grvdk_ryxxOvGjEtLmD7hVGrpyncbGVQl_zHyUY1j-pcm8xVYBWkm7yj2ExB4hsk-i5EC5S27pU_h0I3dDJbQc_pLqRGv5vYn3AX0M4QfE0nN9WwMZK-egDBB7pNu26S96trOFPoV2Gg0eLrcQoDo-_IP5PHssTrx4lHI6o1tk0tXrgfcOOamdMANW-1ORIw7TaVkXl7D1b1RpWmbj1GX6UmlWDpamNXS4CMgVkCHIZ4Juzp9vD0dG0NPh8RFa1nrHZ9FUJ7N2eFbibnLj-q2jQAdD8JnaCuK0zz-x06K605Pqk-lvnLZPcl5oA2Eooj70-uu_BTkXBFVccgali5HcxPibSi75zlt4XmylKegQzN76JIPngKYPx7WbVlAPQAl03NW2IN9LUoTK_pVsySQ4%26x-client-SKU%3DID_NETSTANDARD2_0%26x-client-ver%3D5.3.0.0,https://www.ewerk-dietrichschlag.at/startseite.html,e-werk.dietrichschlag@aon.at,E-Werk Dietrichschlag eGen,https://www.ebutilities.at/home.html,E-Werk Dietrichschlag eGen,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,E-Werk Ebner GesmbH,E-Werk Ebner,AT-Code,AT008730,,-,,verwaltung@EWEbner.at,E-Werk Ebner GesmbH,https://www.ebutilities.at/home.html,E-Werk Ebner GesmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,E-Werk Gleinstätten GmbH,E-Werk Gleinstätten,AT-Code,AT008740,,-,,office@ktg-austria.at,E-Werk Gleinstätten GmbH,https://www.ebutilities.at/home.html,E-Werk Gleinstätten GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,E-Werk Gösting Stromversorgung GmbH,E-Werk Gösting,AT-Code,AT008210,,-,,a.froehlich@ewg.at,E-Werk Gösting Stromversorgung GmbH,https://www.ebutilities.at/home.html,E-Werk Gösting Stromversorgung GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,E-Werk Piwetz,E-Werk Piwetz,AT-Code,AT008950,,-,,office@ew-piwetz.at,E-Werk Piwetz,https://www.ebutilities.at/home.html,E-Werk Piwetz,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,E-Werk Ranklleiten,E-Werk Ranklleiten,AT-Code,AT003590,,https://ranklleiten-davidvo.mein-portal.at/kundenportal,https://ranklleiten.at,office@ranklleiten.at,E-Werk Ranklleiten,https://www.ebutilities.at/home.html,E-Werk Ranklleiten,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,E-Werk Redlmühle B. Drack Elektrotechnik ,Elektrotechnik Drack / E-Werk Redlmühle,AT-Code,AT003910,,-,http://www.drackstrom.at/ws/frontend/seite/SeiteCms.php?coId=2&coType=navigation1,office@drackstrom.at,E-Werk Redlmühle B. Drack Elektrotechnik ,https://www.ebutilities.at/home.html,E-Werk Redlmühle B. Drack Elektrotechnik ,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,E-Werk Sarmingstein Ing. H. Engelmann & Co KG,E-Werk Sarmingstein,AT-Code,AT002900,,-,,ewsa@e-werke.at,E-Werk Sarmingstein Ing. H. Engelmann & Co KG,https://www.ebutilities.at/home.html,E-Werk Sarmingstein Ing. H. Engelmann & Co KG,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,E-Werk Schattwald e.U.,E-Werk Schattwald,AT-Code,AT005340,,https://kundenportal.ew-schattwald.at/,https://ew-schattwald.at/,office@ew-schattwald.at,E-Werk Schattwald e.U.,https://www.ebutilities.at/home.html,E-Werk Schattwald e.U.,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,E-Werk Schwaighofer GmbH,E-Werk Schwaighofer,AT-Code,AT002250,,https://schwaighofer-davidvo.mein-portal.at/kundenportal,,e.werk@schwaighofer-lunz.at,E-Werk Schwaighofer GmbH,https://www.ebutilities.at/home.html,E-Werk Schwaighofer GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,E-Werk Sigl GmbH & Co KG,E-Werk Sigl,AT-Code,AT008540,,-,,,E-Werk Sigl GmbH & Co KG,https://www.ebutilities.at/home.html,E-Werk Sigl GmbH & Co KG,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
AT,DSO,E-Werk Stadler GmbH,E-Werk Stadler,AT-Code,AT005470,,https://portal.elektro-stadler.at/,,info@elektro-stadler.at,E-Werk Stadler GmbH,https://www.ebutilities.at/home.html,E-Werk Stadler GmbH,https://www.eda.at/energiedienstleister,-,https://www.eda.at/pdf/anlage5preisblatt.pdf
